"gender","fav_number","link_color","retweet_count","sidebar_color","tweet_count"
"male","0","08C2C2","0","FFFFFF","110964"
"male","68","0084B4","0","C0DEED","7471"
"male","7696","ABB8C2","1","C0DEED","5617"
"male","202","0084B4","0","C0DEED","1693"
"female","37318","3B94D9","0","0","31462"
"female","3901","F5ABB5","0","0","20036"
"brand","4122","298AAE","0","0","13354"
"male","80","0000FF","0","C0DEED","112117"
"female","1825","9266CC","0","0","482"
"female","3115","9266CC","0","FFFFFF","26085"
"brand","516","0084B4","0","C0DEED","5179"
"brand","0","0084B4","0","C0DEED","66684"
"female","3371","0084B4","0","FFFFFF","13585"
"brand","0","2FC2EF","0","181A1E","199466"
"female","13928","0084B4","0","FFFFFF","18469"
"female","0","0084B4","0","C0DEED","44421"
"female","1762","58185","0","EEEEEE","16627"
"male","5","0084B4","0","C0DEED","91"
"male","1","0084B4","0","C0DEED","13"
"unknown","160","0084B4","0","0","2398"
"female","18751","3B94D9","0","0","10271"
"female","5454","D41EBF","0","65B0DA","13452"
"female","133","0084B4","0","C0DEED","408"
"male","2871","3B94D9","0","C0DEED","2219"
"male","228","0084B4","0","C0DEED","3370"
"female","1051","0084B4","0","C0DEED","97"
"brand","0","0084B4","0","C0DEED","52230"
"brand","5601","DD2E44","0","0","12715"
"female","4068","EEA525","0","EEA525","61166"
"male","4408","FE617D","0","FFFFFF","55751"
"brand","1","0084B4","0","C0DEED","31156"
"male","103","DD2E44","0","FFFFFF","25773"
"female","1322","FF55AA","0","FFFFFF","4965"
"male","901","0084B4","0","C0DEED","69698"
"brand","72","0084B4","0","C0DEED","168094"
"male","49","0084B4","0","FFFFFF","30294"
"brand","764","EE3124","0","FFFFFF","5309"
"female","748","CC3366","0","DBE9ED","58876"
"brand","3399","0084B4","0","C0DEED","4840"
"male","1900","AB6F09","0","FFFFFF","8843"
"brand","29","FA743E","0","0","3750"
"male","12","09A7E0","0","BDDCAD","28078"
"brand","711","0084B4","0","C0DEED","13131"
"male","4525","0084B4","0","C0DEED","6394"
"male","172","0084B4","0","C0DEED","2856"
"male","85","595952","0","FFFFFF","73578"
"female","552","0084B4","0","BDDCAD","2271"
"male","4561","0084B4","0","C0DEED","37982"
"female","1472","0084B4","0","C0DEED","1829"
"brand","11","2FC2EF","0","181A1E","54795"
"male","0","0084B4","0","C0DEED","130147"
"female","12","0084B4","0","C0DEED","142495"
"brand","313","0084B4","0","FFFFFF","40021"
"male","104","0","0","FFFFFF","9071"
"male","11","1F98C7","0","C6E2EE","5222"
"male","16836","0084B4","0","C0DEED","42573"
"female","0","0084B4","0","C0DEED","2847"
"brand","983","0000FF","0","FFFFFF","73969"
"male","1312","0","0","0","53245"
"brand","565","0000FF","0","FFFFFF","172571"
"brand","1628","0083B3","0","C0DEED","5692"
"female","6559","38543","0","EEEEEE","11328"
"female","27753","0084B4","0","C0DEED","69585"
"male","20","3B94D9","0","0","3215"
"female","7013","DD2E44","0","C6E2EE","1900"
"male","10536","ABB8C2","0","FFFFFF","237421"
"male","1741","FF0000","0","F2E195","12286"
"female","797","990000","0","DFDFDF","31758"
"female","109","0084B4","0","C0DEED","689"
"female","722","3B94D9","0","0","209962"
"male","0","0084B4","0","C0DEED","3191"
"brand","423","00A500","0","FFFFFF","3949"
"male","450","0084B4","0","C0DEED","1104"
"male","530","9611B0","0","80808","39756"
"brand","246","ABB8C2","0","EEEEEE","11082"
"female","69","0084B4","0","C0DEED","593"
"brand","1","9999","0","EEEEEE","228205"
"female","0","0084B4","0","C0DEED","13424"
"male","215","0084B4","0","C0DEED","998"
"male","774","9999","0","EEEEEE","56032"
"female","0","0084B4","0","C0DEED","13401"
"female","6805","FF0877","0","FFFFFF","30903"
"brand","0","F62217","0","C0DEED","19879"
"female","36","F5ABB5","0","0","488"
"brand","3","E51937","0","0","69816"
